time_interval,day_of_week,address,latitude,longitude,available_bikes,bike_stands,capacity_ratio
00:00 - 00:30,Friday,Avondale Road,53.3594,-6.27614,123,385,0.3194805194805195
00:00 - 00:30,Friday,Benson Street,53.3442,-6.23345,53,400,0.1325
00:00 - 00:30,Friday,Blackhall Place,53.3488,-6.28164,96,240,0.4
00:00 - 00:30,Friday,Blessington Street,53.3568,-6.26814,65,220,0.29545454545454547
00:00 - 00:30,Friday,Bolton Street,53.3512,-6.26986,30,240,0.125
00:00 - 00:30,Friday,Broadstone,53.3547,-6.27231,3,300,0.01
00:00 - 00:30,Friday,Brookfield Road,53.339,-6.30022,119,360,0.33055555555555555
00:00 - 00:30,Friday,Buckingham Street Lower,53.3533,-6.24932,145,348,0.4166666666666667
00:00 - 00:30,Friday,Cathal Brugha Street,53.3521,-6.26053,154,240,0.6416666666666667
00:00 - 00:30,Friday,Charlemont Street,53.3307,-6.26018,315,440,0.7159090909090909
00:00 - 00:30,Friday,Charleville Road,53.3592,-6.28187,181,360,0.5027777777777778
00:00 - 00:30,Friday,Christchurch Place,53.3434,-6.27012,35,220,0.1590909090909091
00:00 - 00:30,Friday,City Quay,53.3466,-6.24615,22,360,0.06111111111111111
00:00 - 00:30,Friday,Clarendon Row,53.3409,-6.2625,219,372,0.5887096774193549
00:00 - 00:30,Friday,Clonmel Street,53.336,-6.26298,112,396,0.2828282828282828
00:00 - 00:30,Friday,Collins Barracks Museum,53.3475,-6.28525,117,456,0.2565789473684211
00:00 - 00:30,Friday,Convention Centre,53.3474,-6.23852,30,480,0.0625
00:00 - 00:30,Friday,Custom House,53.3483,-6.25466,308,360,0.8555555555555555
00:00 - 00:30,Friday,Custom House Quay,53.3479,-6.24805,36,360,0.1
00:00 - 00:30,Friday,Dame Street,53.344,-6.2668,141,192,0.734375
00:00 - 00:30,Friday,Denmark Street Great,53.3556,-6.2614,108,240,0.45
00:00 - 00:30,Friday,Deverell Place,53.3515,-6.25527,354,360,0.9833333333333333
00:00 - 00:30,Friday,Earlsfort Terrace,53.3343,-6.2585,5,300,0.016666666666666666
00:00 - 00:30,Friday,Eccles Street,53.3592,-6.26978,60,200,0.3
00:00 - 00:30,Friday,Eccles Street East,53.3581,-6.2656,16,270,0.05925925925925926
00:00 - 00:30,Friday,Emmet Road,53.3407,-6.30819,206,480,0.42916666666666664
00:00 - 00:30,Friday,Exchequer Street,53.343,-6.26358,44,288,0.1527777777777778
00:00 - 00:30,Friday,Excise Walk,53.3478,-6.24424,246,480,0.5125
00:00 - 00:30,Friday,Fenian Street,53.3414,-6.24672,161,420,0.38333333333333336
